UF,Nome_UF,Região Geográfica Intermediária,Nome Região Geográfica Intermediária,Região Geográfica Imediata,Nome Região Geográfica Imediata,Mesorregião Geográfica,Nome_Mesorregião,Microrregião Geográfica,Nome_Microrregião,Município,Código Município Completo,Nome_Município
23,Ceará,2304,Juazeiro do Norte,230012,Brejo Santo,7,Sul Cearense,33,Brejo Santo,101,2300101,Abaiara
23,Ceará,2301,Fortaleza,230003,Redenção-Acarape,2,Norte Cearense,13,Baturité,150,2300150,Acarape
23,Ceará,2306,Sobral,230017,Acaraú,1,Noroeste Cearense,1,Litoral de Camocim e Acaraú,200,2300200,Acaraú
23,Ceará,2303,Iguatu,230009,Iguatu,4,Sertões Cearenses,21,Sertão de Senador Pompeu,309,2300309,Acopiara
23,Ceará,2304,Juazeiro do Norte,230011,Juazeiro do Norte,4,Sertões Cearenses,20,Sertão de Inhamuns,408,2300408,Aiuaba
23,Ceará,2306,Sobral,230015,Sobral,1,Noroeste Cearense,4,Meruoca,507,2300507,Alcântaras
23,Ceará,2304,Juazeiro do Norte,230011,Juazeiro do Norte,7,Sul Cearense,30,Caririaçu,606,2300606,Altaneira
23,Ceará,2302,Quixadá,230007,Russas - Limoeiro do Norte,5,Jaguaribe,23,Baixo Jaguaribe,705,2300705,Alto Santo
23,Ceará,2301,Fortaleza,230002,Itapipoca,2,Norte Cearense,8,Itapipoca,754,2300754,Amontada
23,Ceará,2304,Juazeiro do Norte,230011,Juazeiro do Norte,6,Centro-Sul Cearense,27,Várzea Alegre,804,2300804,Antonina do Norte
23,Ceará,2301,Fortaleza,230005,Itapagé,2,Norte Cearense,11,Médio Curu,903,2300903,Apuiarés
23,Ceará,2301,Fortaleza,230001,Fortaleza,3,Metropolitana de Fortaleza,16,Fortaleza,1000,2301000,Aquiraz
23,Ceará,2302,Quixadá,230008,Aracati,5,Jaguaribe,22,Litoral de Aracati,1109,2301109,Aracati
23,Ceará,2301,Fortaleza,230003,Redenção-Acarape,2,Norte Cearense,13,Baturité,1208,2301208,Aracoiaba
23,Ceará,2305,Crateús,230013,Crateús,4,Sertões Cearenses,18,Sertão de Cratéus,1257,2301257,Ararendá
23,Ceará,2304,Juazeiro do Norte,230011,Juazeiro do Norte,7,Sul Cearense,29,Chapada do Araripe,1307,2301307,Araripe
23,Ceará,2301,Fortaleza,230003,Redenção-Acarape,2,Norte Cearense,13,Baturité,1406,2301406,Aratuba
23,Ceará,2305,Crateús,230014,Tauá,4,Sertões Cearenses,20,Sertão de Inhamuns,1505,2301505,Arneiroz
23,Ceará,2304,Juazeiro do Norte,230011,Juazeiro do Norte,7,Sul Cearense,29,Chapada do Araripe,1604,2301604,Assaré
23,Ceará,2304,Juazeiro do Norte,230011,Juazeiro do Norte,7,Sul Cearense,31,Barro,1703,2301703,Aurora
23,Ceará,2303,Iguatu,230010,Icó,6,Centro-Sul Cearense,28,Lavras da Mangabeira,1802,2301802,Baixio
23,Ceará,2302,Quixadá,230006,Quixadá,4,Sertões Cearenses,19,Sertão de Quixeramobim,1851,2301851,Banabuiú
23,Ceará,2304,Juazeiro do Norte,230011,Juazeiro do Norte,7,Sul Cearense,32,Cariri,1901,2301901,Barbalha
23,Ceará,2301,Fortaleza,230003,Redenção-Acarape,2,Norte Cearense,14,Chorozinho,1950,2301950,Barreira
23,Ceará,2304,Juazeiro do Norte,230012,Brejo Santo,7,Sul Cearense,31,Barro,2008,2302008,Barro
23,Ceará,2306,Sobral,230018,Camocim,1,Noroeste Cearense,1,Litoral de Camocim e Acaraú,2057,2302057,Barroquinha
23,Ceará,2301,Fortaleza,230003,Redenção-Acarape,2,Norte Cearense,13,Baturité,2107,2302107,Baturité
23,Ceará,2301,Fortaleza,230001,Fortaleza,2,Norte Cearense,15,Cascavel,2206,2302206,Beberibe
23,Ceará,2306,Sobral,230017,Acaraú,1,Noroeste Cearense,1,Litoral de Camocim e Acaraú,2305,2302305,Bela Cruz
23,Ceará,2301,Fortaleza,230004,Canindé,4,Sertões Cearenses,19,Sertão de Quixeramobim,2404,2302404,Boa Viagem
23,Ceará,2304,Juazeiro do Norte,230012,Brejo Santo,7,Sul Cearense,33,Brejo Santo,2503,2302503,Brejo Santo
23,Ceará,2306,Sobral,230018,Camocim,1,Noroeste Cearense,1,Litoral de Camocim e Acaraú,2602,2302602,Camocim
23,Ceará,2304,Juazeiro do Norte,230011,Juazeiro do Norte,7,Sul Cearense,29,Chapada do Araripe,2701,2302701,Campos Sales
23,Ceará,2301,Fortaleza,230004,Canindé,2,Norte Cearense,12,Canindé,2800,2302800,Canindé
23,Ceará,2301,Fortaleza,230003,Redenção-Acarape,2,Norte Cearense,13,Baturité,2909,2302909,Capistrano
23,Ceará,2301,Fortaleza,230004,Canindé,2,Norte Cearense,12,Canindé,3006,2303006,Caridade
23,Ceará,2306,Sobral,230015,Sobral,1,Noroeste Cearense,5,Sobral,3105,2303105,Cariré
23,Ceará,2304,Juazeiro do Norte,230011,Juazeiro do Norte,7,Sul Cearense,30,Caririaçu,3204,2303204,Caririaçu
23,Ceará,2303,Iguatu,230009,Iguatu,6,Centro-Sul Cearense,27,Várzea Alegre,3303,2303303,Cariús
23,Ceará,2306,Sobral,230016,São Benedito - Ipu - Guaraciaba do Norte - Tianguá,1,Noroeste Cearense,2,Ibiapaba,3402,2303402,Carnaubal
23,Ceará,2301,Fortaleza,230001,Fortaleza,2,Norte Cearense,15,Cascavel,3501,2303501,Cascavel
23,Ceará,2303,Iguatu,230009,Iguatu,4,Sertões Cearenses,20,Sertão de Inhamuns,3600,2303600,Catarina
23,Ceará,2306,Sobral,230015,Sobral,1,Noroeste Cearense,7,Santa Quitéria,3659,2303659,Catunda
23,Ceará,2301,Fortaleza,230001,Fortaleza,3,Metropolitana de Fortaleza,16,Fortaleza,3709,2303709,Caucaia
23,Ceará,2303,Iguatu,230009,Iguatu,6,Centro-Sul Cearense,26,Iguatu,3808,2303808,Cedro
23,Ceará,2306,Sobral,230018,Camocim,1,Noroeste Cearense,1,Litoral de Camocim e Acaraú,3907,2303907,Chaval
23,Ceará,2302,Quixadá,230006,Quixadá,4,Sertões Cearenses,19,Sertão de Quixeramobim,3931,2303931,Choró
23,Ceará,2301,Fortaleza,230001,Fortaleza,2,Norte Cearense,14,Chorozinho,3956,2303956,Chorozinho
23,Ceará,2306,Sobral,230015,Sobral,1,Noroeste Cearense,3,Coreaú,4004,2304004,Coreaú
23,Ceará,2305,Crateús,230013,Crateús,4,Sertões Cearenses,18,Sertão de Cratéus,4103,2304103,Crateús
23,Ceará,2304,Juazeiro do Norte,230011,Juazeiro do Norte,7,Sul Cearense,32,Cariri,4202,2304202,Crato
23,Ceará,2306,Sobral,230016,São Benedito - Ipu - Guaraciaba do Norte - Tianguá,1,Noroeste Cearense,2,Ibiapaba,4236,2304236,Croatá
23,Ceará,2306,Sobral,230017,Acaraú,1,Noroeste Cearense,1,Litoral de Camocim e Acaraú,4251,2304251,Cruz
23,Ceará,2302,Quixadá,230006,Quixadá,4,Sertões Cearenses,21,Sertão de Senador Pompeu,4269,2304269,Deputado Irapuan Pinheiro
23,Ceará,2302,Quixadá,230007,Russas - Limoeiro do Norte,5,Jaguaribe,25,Serra do Pereiro,4277,2304277,Ereré
23,Ceará,2301,Fortaleza,230001,Fortaleza,3,Metropolitana de Fortaleza,16,Fortaleza,4285,2304285,Eusébio
23,Ceará,2304,Juazeiro do Norte,230011,Juazeiro do Norte,7,Sul Cearense,30,Caririaçu,4301,2304301,Farias Brito
23,Ceará,2306,Sobral,230015,Sobral,1,Noroeste Cearense,5,Sobral,4350,2304350,Forquilha
23,Ceará,2301,Fortaleza,230001,Fortaleza,3,Metropolitana de Fortaleza,16,Fortaleza,4400,2304400,Fortaleza
23,Ceará,2302,Quixadá,230008,Aracati,5,Jaguaribe,22,Litoral de Aracati,4459,2304459,Fortim
23,Ceará,2306,Sobral,230015,Sobral,1,Noroeste Cearense,3,Coreaú,4509,2304509,Frecheirinha
23,Ceará,2301,Fortaleza,230005,Itapagé,2,Norte Cearense,11,Médio Curu,4608,2304608,General Sampaio
23,Ceará,2306,Sobral,230015,Sobral,1,Noroeste Cearense,5,Sobral,4657,2304657,Graça
23,Ceará,2306,Sobral,230018,Camocim,1,Noroeste Cearense,1,Litoral de Camocim e Acaraú,4707,2304707,Granja
23,Ceará,2304,Juazeiro do Norte,230011,Juazeiro do Norte,7,Sul Cearense,30,Caririaçu,4806,2304806,Granjeiro
23,Ceará,2306,Sobral,230015,Sobral,1,Noroeste Cearense,5,Sobral,4905,2304905,Groaíras
23,Ceará,2301,Fortaleza,230001,Fortaleza,3,Metropolitana de Fortaleza,16,Fortaleza,4954,2304954,Guaiúba
23,Ceará,2306,Sobral,230016,São Benedito - Ipu - Guaraciaba do Norte - Tianguá,1,Noroeste Cearense,2,Ibiapaba,5001,2305001,Guaraciaba do Norte
23,Ceará,2301,Fortaleza,230003,Redenção-Acarape,2,Norte Cearense,13,Baturité,5100,2305100,Guaramiranga
23,Ceará,2306,Sobral,230015,Sobral,1,Noroeste Cearense,7,Santa Quitéria,5209,2305209,Hidrolândia
23,Ceará,2301,Fortaleza,230001,Fortaleza,3,Metropolitana de Fortaleza,17,Pacajus,5233,2305233,Horizonte
23,Ceará,2302,Quixadá,230006,Quixadá,4,Sertões Cearenses,19,Sertão de Quixeramobim,5266,2305266,Ibaretama
23,Ceará,2306,Sobral,230016,São Benedito - Ipu - Guaraciaba do Norte - Tianguá,1,Noroeste Cearense,2,Ibiapaba,5308,2305308,Ibiapina
23,Ceará,2302,Quixadá,230006,Quixadá,5,Jaguaribe,23,Baixo Jaguaribe,5332,2305332,Ibicuitinga
23,Ceará,2302,Quixadá,230008,Aracati,5,Jaguaribe,22,Litoral de Aracati,5357,2305357,Icapuí
23,Ceará,2303,Iguatu,230010,Icó,6,Centro-Sul Cearense,26,Iguatu,5407,2305407,Icó
23,Ceará,2303,Iguatu,230009,Iguatu,6,Centro-Sul Cearense,26,Iguatu,5506,2305506,Iguatu
23,Ceará,2305,Crateús,230013,Crateús,4,Sertões Cearenses,18,Sertão de Cratéus,5605,2305605,Independência
23,Ceará,2305,Crateús,230013,Crateús,4,Sertões Cearenses,18,Sertão de Cratéus,5654,2305654,Ipaporanga
23,Ceará,2303,Iguatu,230010,Icó,6,Centro-Sul Cearense,28,Lavras da Mangabeira,5704,2305704,Ipaumirim
23,Ceará,2306,Sobral,230016,São Benedito - Ipu - Guaraciaba do Norte - Tianguá,1,Noroeste Cearense,6,Ipu,5803,2305803,Ipu
23,Ceará,2306,Sobral,230016,São Benedito - Ipu - Guaraciaba do Norte - Tianguá,1,Noroeste Cearense,6,Ipu,5902,2305902,Ipueiras
23,Ceará,2302,Quixadá,230007,Russas - Limoeiro do Norte,5,Jaguaribe,25,Serra do Pereiro,6009,2306009,Iracema
23,Ceará,2301,Fortaleza,230005,Itapagé,1,Noroeste Cearense,5,Sobral,6108,2306108,Irauçuba
23,Ceará,2302,Quixadá,230008,Aracati,5,Jaguaribe,22,Litoral de Aracati,6207,2306207,Itaiçaba
23,Ceará,2301,Fortaleza,230001,Fortaleza,3,Metropolitana de Fortaleza,16,Fortaleza,6256,2306256,Itaitinga
23,Ceará,2301,Fortaleza,230005,Itapagé,2,Norte Cearense,10,Uruburetama,6306,2306306,Itapajé
23,Ceará,2301,Fortaleza,230002,Itapipoca,2,Norte Cearense,8,Itapipoca,6405,2306405,Itapipoca
23,Ceará,2301,Fortaleza,230003,Redenção-Acarape,2,Norte Cearense,13,Baturité,6504,2306504,Itapiúna
23,Ceará,2306,Sobral,230017,Acaraú,1,Noroeste Cearense,1,Litoral de Camocim e Acaraú,6553,2306553,Itarema
23,Ceará,2301,Fortaleza,230004,Canindé,2,Norte Cearense,12,Canindé,6603,2306603,Itatira
23,Ceará,2302,Quixadá,230007,Russas - Limoeiro do Norte,5,Jaguaribe,24,Médio Jaguaribe,6702,2306702,Jaguaretama
23,Ceará,2302,Quixadá,230007,Russas - Limoeiro do Norte,5,Jaguaribe,24,Médio Jaguaribe,6801,2306801,Jaguaribara
23,Ceará,2302,Quixadá,230007,Russas - Limoeiro do Norte,5,Jaguaribe,24,Médio Jaguaribe,6900,2306900,Jaguaribe
23,Ceará,2302,Quixadá,230008,Aracati,5,Jaguaribe,23,Baixo Jaguaribe,7007,2307007,Jaguaruana
23,Ceará,2304,Juazeiro do Norte,230011,Juazeiro do Norte,7,Sul Cearense,32,Cariri,7106,2307106,Jardim
23,Ceará,2304,Juazeiro do Norte,230012,Brejo Santo,7,Sul Cearense,33,Brejo Santo,7205,2307205,Jati
23,Ceará,2306,Sobral,230017,Acaraú,1,Noroeste Cearense,1,Litoral de Camocim e Acaraú,7254,2307254,Jijoca de Jericoacoara
23,Ceará,2304,Juazeiro do Norte,230011,Juazeiro do Norte,7,Sul Cearense,32,Cariri,7304,2307304,Juazeiro do Norte
23,Ceará,2303,Iguatu,230009,Iguatu,6,Centro-Sul Cearense,27,Várzea Alegre,7403,2307403,Jucás
23,Ceará,2304,Juazeiro do Norte,230011,Juazeiro do Norte,6,Centro-Sul Cearense,28,Lavras da Mangabeira,7502,2307502,Lavras da Mangabeira
23,Ceará,2302,Quixadá,230007,Russas - Limoeiro do Norte,5,Jaguaribe,23,Baixo Jaguaribe,7601,2307601,Limoeiro do Norte
23,Ceará,2301,Fortaleza,230004,Canindé,4,Sertões Cearenses,19,Sertão de Quixeramobim,7635,2307635,Madalena
23,Ceará,2301,Fortaleza,230001,Fortaleza,3,Metropolitana de Fortaleza,16,Fortaleza,7650,2307650,Maracanaú
23,Ceará,2301,Fortaleza,230001,Fortaleza,3,Metropolitana de Fortaleza,16,Fortaleza,7700,2307700,Maranguape
23,Ceará,2306,Sobral,230017,Acaraú,1,Noroeste Cearense,1,Litoral de Camocim e Acaraú,7809,2307809,Marco
23,Ceará,2306,Sobral,230015,Sobral,1,Noroeste Cearense,1,Litoral de Camocim e Acaraú,7908,2307908,Martinópole
23,Ceará,2306,Sobral,230015,Sobral,1,Noroeste Cearense,5,Sobral,8005,2308005,Massapê
23,Ceará,2304,Juazeiro do Norte,230012,Brejo Santo,7,Sul Cearense,31,Barro,8104,2308104,Mauriti
23,Ceará,2306,Sobral,230015,Sobral,1,Noroeste Cearense,4,Meruoca,8203,2308203,Meruoca
23,Ceará,2304,Juazeiro do Norte,230012,Brejo Santo,7,Sul Cearense,33,Brejo Santo,8302,2308302,Milagres
23,Ceará,2302,Quixadá,230006,Quixadá,4,Sertões Cearenses,21,Sertão de Senador Pompeu,8351,2308351,Milhã
23,Ceará,2301,Fortaleza,230002,Itapipoca,1,Noroeste Cearense,5,Sobral,8377,2308377,Miraíma
23,Ceará,2304,Juazeiro do Norte,230011,Juazeiro do Norte,7,Sul Cearense,32,Cariri,8401,2308401,Missão Velha
23,Ceará,2303,Iguatu,230009,Iguatu,4,Sertões Cearenses,21,Sertão de Senador Pompeu,8500,2308500,Mombaça
23,Ceará,2305,Crateús,230013,Crateús,4,Sertões Cearenses,18,Sertão de Cratéus,8609,2308609,Monsenhor Tabosa
23,Ceará,2302,Quixadá,230007,Russas - Limoeiro do Norte,5,Jaguaribe,23,Baixo Jaguaribe,8708,2308708,Morada Nova
23,Ceará,2306,Sobral,230015,Sobral,1,Noroeste Cearense,3,Coreaú,8807,2308807,Moraújo
23,Ceará,2306,Sobral,230015,Sobral,1,Noroeste Cearense,1,Litoral de Camocim e Acaraú,8906,2308906,Morrinhos
23,Ceará,2306,Sobral,230015,Sobral,1,Noroeste Cearense,5,Sobral,9003,2309003,Mucambo
23,Ceará,2301,Fortaleza,230003,Redenção-Acarape,2,Norte Cearense,13,Baturité,9102,2309102,Mulungu
23,Ceará,2304,Juazeiro do Norte,230011,Juazeiro do Norte,7,Sul Cearense,32,Cariri,9201,2309201,Nova Olinda
23,Ceará,2305,Crateús,230013,Crateús,4,Sertões Cearenses,18,Sertão de Cratéus,9300,2309300,Nova Russas
23,Ceará,2305,Crateús,230013,Crateús,4,Sertões Cearenses,18,Sertão de Cratéus,9409,2309409,Novo Oriente
23,Ceará,2301,Fortaleza,230003,Redenção-Acarape,2,Norte Cearense,14,Chorozinho,9458,2309458,Ocara
23,Ceará,2303,Iguatu,230010,Icó,6,Centro-Sul Cearense,26,Iguatu,9508,2309508,Orós
23,Ceará,2301,Fortaleza,230001,Fortaleza,3,Metropolitana de Fortaleza,17,Pacajus,9607,2309607,Pacajus
23,Ceará,2301,Fortaleza,230001,Fortaleza,3,Metropolitana de Fortaleza,16,Fortaleza,9706,2309706,Pacatuba
23,Ceará,2301,Fortaleza,230003,Redenção-Acarape,2,Norte Cearense,13,Baturité,9805,2309805,Pacoti
23,Ceará,2306,Sobral,230015,Sobral,1,Noroeste Cearense,5,Sobral,9904,2309904,Pacujá
23,Ceará,2302,Quixadá,230007,Russas - Limoeiro do Norte,5,Jaguaribe,23,Baixo Jaguaribe,10001,2310001,Palhano
23,Ceará,2301,Fortaleza,230001,Fortaleza,2,Norte Cearense,13,Baturité,10100,2310100,Palmácia
23,Ceará,2301,Fortaleza,230001,Fortaleza,2,Norte Cearense,9,Baixo Curu,10209,2310209,Paracuru
23,Ceará,2301,Fortaleza,230001,Fortaleza,2,Norte Cearense,9,Baixo Curu,10258,2310258,Paraipaba
23,Ceará,2305,Crateús,230014,Tauá,4,Sertões Cearenses,20,Sertão de Inhamuns,10308,2310308,Parambu
23,Ceará,2301,Fortaleza,230004,Canindé,2,Norte Cearense,12,Canindé,10407,2310407,Paramoti
23,Ceará,2302,Quixadá,230006,Quixadá,4,Sertões Cearenses,21,Sertão de Senador Pompeu,10506,2310506,Pedra Branca
23,Ceará,2304,Juazeiro do Norte,230012,Brejo Santo,7,Sul Cearense,33,Brejo Santo,10605,2310605,Penaforte
23,Ceará,2301,Fortaleza,230005,Itapagé,2,Norte Cearense,11,Médio Curu,10704,2310704,Pentecoste
23,Ceará,2302,Quixadá,230007,Russas - Limoeiro do Norte,5,Jaguaribe,25,Serra do Pereiro,10803,2310803,Pereiro
23,Ceará,2301,Fortaleza,230001,Fortaleza,2,Norte Cearense,15,Cascavel,10852,2310852,Pindoretama
23,Ceará,2303,Iguatu,230009,Iguatu,4,Sertões Cearenses,21,Sertão de Senador Pompeu,10902,2310902,Piquet Carneiro
23,Ceará,2306,Sobral,230016,São Benedito - Ipu - Guaraciaba do Norte - Tianguá,1,Noroeste Cearense,6,Ipu,10951,2310951,Pires Ferreira
23,Ceará,2305,Crateús,230013,Crateús,1,Noroeste Cearense,6,Ipu,11009,2311009,Poranga
23,Ceará,2304,Juazeiro do Norte,230012,Brejo Santo,7,Sul Cearense,32,Cariri,11108,2311108,Porteiras
23,Ceará,2304,Juazeiro do Norte,230011,Juazeiro do Norte,7,Sul Cearense,29,Chapada do Araripe,11207,2311207,Potengi
23,Ceará,2302,Quixadá,230007,Russas - Limoeiro do Norte,5,Jaguaribe,25,Serra do Pereiro,11231,2311231,Potiretama
23,Ceará,2305,Crateús,230013,Crateús,4,Sertões Cearenses,18,Sertão de Cratéus,11264,2311264,Quiterianópolis
23,Ceará,2302,Quixadá,230006,Quixadá,4,Sertões Cearenses,19,Sertão de Quixeramobim,11306,2311306,Quixadá
23,Ceará,2303,Iguatu,230009,Iguatu,6,Centro-Sul Cearense,26,Iguatu,11355,2311355,Quixelô
23,Ceará,2302,Quixadá,230006,Quixadá,4,Sertões Cearenses,19,Sertão de Quixeramobim,11405,2311405,Quixeramobim
23,Ceará,2302,Quixadá,230007,Russas - Limoeiro do Norte,5,Jaguaribe,23,Baixo Jaguaribe,11504,2311504,Quixeré
23,Ceará,2301,Fortaleza,230003,Redenção-Acarape,2,Norte Cearense,13,Baturité,11603,2311603,Redenção
23,Ceará,2306,Sobral,230015,Sobral,1,Noroeste Cearense,6,Ipu,11702,2311702,Reriutaba
23,Ceará,2302,Quixadá,230007,Russas - Limoeiro do Norte,5,Jaguaribe,23,Baixo Jaguaribe,11801,2311801,Russas
23,Ceará,2303,Iguatu,230009,Iguatu,4,Sertões Cearenses,20,Sertão de Inhamuns,11900,2311900,Saboeiro
23,Ceará,2304,Juazeiro do Norte,230011,Juazeiro do Norte,7,Sul Cearense,29,Chapada do Araripe,11959,2311959,Salitre
23,Ceará,2306,Sobral,230015,Sobral,1,Noroeste Cearense,7,Santa Quitéria,12205,2312205,Santa Quitéria
23,Ceará,2306,Sobral,230015,Sobral,1,Noroeste Cearense,5,Sobral,12007,2312007,Santana do Acaraú
23,Ceará,2304,Juazeiro do Norte,230011,Juazeiro do Norte,7,Sul Cearense,32,Cariri,12106,2312106,Santana do Cariri
23,Ceará,2306,Sobral,230016,São Benedito - Ipu - Guaraciaba do Norte - Tianguá,1,Noroeste Cearense,2,Ibiapaba,12304,2312304,São Benedito
23,Ceará,2301,Fortaleza,230001,Fortaleza,2,Norte Cearense,9,Baixo Curu,12403,2312403,São Gonçalo do Amarante
23,Ceará,2302,Quixadá,230007,Russas - Limoeiro do Norte,5,Jaguaribe,23,Baixo Jaguaribe,12502,2312502,São João do Jaguaribe
23,Ceará,2301,Fortaleza,230001,Fortaleza,2,Norte Cearense,11,Médio Curu,12601,2312601,São Luís do Curu
23,Ceará,2302,Quixadá,230006,Quixadá,4,Sertões Cearenses,21,Sertão de Senador Pompeu,12700,2312700,Senador Pompeu
23,Ceará,2306,Sobral,230015,Sobral,1,Noroeste Cearense,5,Sobral,12809,2312809,Senador Sá
23,Ceará,2306,Sobral,230015,Sobral,1,Noroeste Cearense,5,Sobral,12908,2312908,Sobral
23,Ceará,2302,Quixadá,230006,Quixadá,4,Sertões Cearenses,21,Sertão de Senador Pompeu,13005,2313005,Solonópole
23,Ceará,2302,Quixadá,230007,Russas - Limoeiro do Norte,5,Jaguaribe,23,Baixo Jaguaribe,13104,2313104,Tabuleiro do Norte
23,Ceará,2305,Crateús,230013,Crateús,4,Sertões Cearenses,18,Sertão de Cratéus,13203,2313203,Tamboril
23,Ceará,2304,Juazeiro do Norte,230011,Juazeiro do Norte,6,Centro-Sul Cearense,27,Várzea Alegre,13252,2313252,Tarrafas
23,Ceará,2305,Crateús,230014,Tauá,4,Sertões Cearenses,20,Sertão de Inhamuns,13302,2313302,Tauá
23,Ceará,2301,Fortaleza,230005,Itapagé,2,Norte Cearense,11,Médio Curu,13351,2313351,Tejuçuoca
23,Ceará,2306,Sobral,230016,São Benedito - Ipu - Guaraciaba do Norte - Tianguá,1,Noroeste Cearense,2,Ibiapaba,13401,2313401,Tianguá
23,Ceará,2301,Fortaleza,230002,Itapipoca,2,Norte Cearense,8,Itapipoca,13500,2313500,Trairi
23,Ceará,2301,Fortaleza,230002,Itapipoca,2,Norte Cearense,10,Uruburetama,13559,2313559,Tururu
23,Ceará,2306,Sobral,230016,São Benedito - Ipu - Guaraciaba do Norte - Tianguá,1,Noroeste Cearense,2,Ibiapaba,13609,2313609,Ubajara
23,Ceará,2303,Iguatu,230010,Icó,6,Centro-Sul Cearense,28,Lavras da Mangabeira,13708,2313708,Umari
23,Ceará,2301,Fortaleza,230002,Itapipoca,2,Norte Cearense,10,Uruburetama,13757,2313757,Umirim
23,Ceará,2301,Fortaleza,230002,Itapipoca,2,Norte Cearense,10,Uruburetama,13807,2313807,Uruburetama
23,Ceará,2306,Sobral,230015,Sobral,1,Noroeste Cearense,3,Coreaú,13906,2313906,Uruoca
23,Ceará,2306,Sobral,230015,Sobral,1,Noroeste Cearense,6,Ipu,13955,2313955,Varjota
23,Ceará,2304,Juazeiro do Norte,230011,Juazeiro do Norte,6,Centro-Sul Cearense,27,Várzea Alegre,14003,2314003,Várzea Alegre
23,Ceará,2306,Sobral,230016,São Benedito - Ipu - Guaraciaba do Norte - Tianguá,1,Noroeste Cearense,2,Ibiapaba,14102,2314102,Viçosa do Ceará
