Posto_ID;Cidade;Posto;Latitude;Longitude
649;Tauá;ALTAMIRA;-5,751472222;-40,13222222
615;Pentecoste;FZ. SAO LOURENCO;0;0
536;Lavras da Mangabeira;IBOREPI;-6,824583333;-38,97044444
242;General Sampaio;JUREMA;-4,083666667;-39,50472222
72;Jaguaretama;JAGUARETAMA;-5,608583333;-38,76397222
28;Campos Sales;CAMPOS SALES;-7,067;-40,36669444
603;Carnaubal;SAO JOSE;-4,136111111;-40,95055556
565;Itapipoca;DESERTO;-3,5;-39,5
843;Quiterianópolis;SANTO ANTôNIO;-6,008583333;-40,79161111
442;Miraíma;AC. SAO PEDRO DA TIMBAUBA;-3,917;-39,9667
813;Quixeramobim;RIACHO DO ALGODAO;-5,352805556;-39,57613889
231;Tejuçuoca;FAZENDA MALAQUIAS;-3,954111111;-39,55408333
599;Aiuaba;FAZENDA NOVA;-6,5;-40,36669444
766;Quixeramobim;RADAR QUIXERAMOBIM;-5,069361111;-39,26722222
734;Independência;MUQUEM;-5,680222222;-40,49119444
646;Tamboril;SAO MANOEL;-4,867;-40,1833
256;Ipueiras;GAZEA;-4,700277778;-40,73583333
674;Catunda;PARAISO;-4,51125;-40,17022222
571;Ererê;TOME VIEIRA;-6,019;-38,40877778
497;Jaguaribe;AQUINOPOLES;-5,941277778;-38,46986111
686;Poranga;SANTANA;-4,795555556;-41,09747222
315;Crato;SANTA FE;-7,161833333;-39,53638889
82;Maracanaú;MARACANAU;-3,884888889;-38,63130556
578;Barbalha;CALDAS;-7,367;-39,33330556
388;Quixadá;AREA SECA;0;0
495;Icó;SAO VICENTE;-6,223916667;-38,67358333
681;Guaraciaba do Norte;PICADA;-4,213916667;-40,75316667
178;Tauá;SANTA TEREZA;-5,867527778;-40,57563889
408;Itapipoca;FAZENDA PAU D'ARCO;-3,131333333;-39,55205556
173;Quiterianópolis;MONTEIRO;-5,719416667;-40,70091667
117;Piquet Carneiro;PIQUET CARNEIRO;-5,805222222;-39,41291667
12;Aracati;ARACATI;-4,568472222;-37,77469444
822;Granjeiro;CANA BRAVA DOS FERREIRAS;-6,913055556;-39,26166667
183;Iracema;EMA;-5,778083333;-38,3405
768;Amontada;SANTA CRUZ;-3,452222222;-39,77686111
261;Miraíma;MIRAIMA;-3,571694444;-39,96758333
798;Milagres;COMUNIDADE VALDIVINO;-7,215916667;-38,94147222
40;Chaval;CHAVAL;-3,036333333;-41,23988889
453;Choró;AC. POMPEU SOBRINHO;-4,837138889;-39,14127778
821;Cariré;CACIMBAS;-3,864861111;-40,68091667
844;Paramoti;JUREMA;-4,1685;-39,45722222
720;Fortaleza;MONDUBIM;-3,816388889;-38,57916667
3;Acopiara;ACOPIARA;-6,11075;-39,44272222
90;Milhã;MILHA;-5,681166667;-39,19688889
690;Crateús;SANTA TEREZINHA;-5,048555556;-40,59313889
636;Granja;ADRIANOPOLIS;-3,345833333;-41,25361111
629;Acaraú;ARANAU;-2,823222222;-40,22236111
767;Maracanaú;PARQUE SAO JOAO;-3,819472222;-38,62538889
225;Quixeramobim;CANGATI;-5,9;-39,6
775;São Gonçalo do Amarante;SANTO AMARO;-3,554166667;-38,87472222
754;Morada Nova;EIXAO 2;-4,965222222;-38,25033333
611;Quiterianópolis;BAIXIO;-5,905833333;-40,67638889
618;Iguatu;BARREIRAS DOS PARAIBANOS;-6,316666667;-39,35
757;Ererê;ACUDE SANTA MARIA;-5,963916667;-38,27444444
465;Alto Santo;COMUNIDADE BAIXIO GRANDE;-5,450305556;-38,11813889
403;Caridade;SAO DOMINGOS;-4,233;-39,26669444
131;Santana do Cariri;SANTANA DO CARIRI;-7,184055556;-39,73808333
796;Jaguaribe;BRUM;-6,185694444;-38,65836111
496;Mombaça;BOA VISTA;-5,651166667;-39,84441667
42;Crateús;CRATEUS;-5,175361111;-40,67855556
784;Aquiraz;SITIO SAPUCAIA FAGUNDES;-3,957916667;-38,35119444
30;Capistrano;CAPISTRANO;-4,467;-38,9
586;Iguatu;QUIXOA;-6,433;-39,33330556
562;Quixadá;AC. PEDRAS BRANCAS;-5,149444444;-38,88991667
638;Aracoiaba;FURNAS;-4,55175;-38,67208333
703;Santa Quitéria;FAZENDA MUTAMBA;-4,043333333;-40,29638889
616;Senador Sá;SERROTA;-3,183083333;-40,45236111
824;Aurora;SANTA VITORIA - LAGES;-6,895027778;-38,84483333
146;Umari;UMARI;-6,643777778;-38,70194444
559;Canindé;AC. SAO MATEUS;-4,367;-39,31669444
594;Tarrafas;URUCUZINHO;-6,732916667;-39,73475
271;Russas;CAPIM GROSSO;-4,873111111;-38,23172222
107;Palhano;PALHANO;-4,748;-37,96227778
543;Penaforte;SITIO BAIXIO DAS BESTAS;-7,816666667;-39,06666667
175;Sobral;FAZENDA POCO VERDE;-3,9;-40,03333333
159;Campos Sales;CARMELOPOLES;-6,9;-40,16669444
266;Amontada;ICARAI DE AMONTADA;-3,024305556;-39,64683333
23;Beberibe;BEBERIBE;-4,181194444;-38,12775
477;Sobral;ARACATIACU;-3,876888889;-40,02025
259;Iracema;SAO JOSE DO FAMA;-5,648;-38,30283333
217;Quixeramobim;ENCANTADO;-5,503111111;-39,30808333
61;Ipaumirim;IPAUMIRIM;-6,790277778;-38,71819444
889;Tururu;BATATAS;-3,484722222;-39,41277778
500;Sobral;JAIBARAS;-3,778;-40,50027778
612;Alto Santo;CASTANHAO;-5,46725;-38,40730556
439;Canindé;AC. SALAO;-4,416666667;-39,31666667
506;Beberibe;ITAPEIM;-4,357055556;-38,11747222
867;Ipu;SITIO SAO JOAO;-4,275027778;-40,74786111
859;Altaneira;SAO ROMAO;-6,9865;-39,68
57;Icapuí;ICAPUI;-4,699;-37,36161111
499;Sobral;BOQUEIRAO;-3,648805556;-40,42461111
553;Massapê;AC. ACARAU MIRIM;-3,5;-40,31666667
826;Ipu;MARRUAS DOS PAIVA;-4,315944444;-40,53313889
14;Araripe;ARARIPE;-7,210888889;-40,13611111
564;Itapipoca;SITIO TREZE IRMAOS;-3,516666667;-39,41666667
295;Araripe;BREJINHO;-7,186833333;-40,02394444
888;Várzea Alegre;CANINDEZINHO;-6,720611111;-39,21519444
639;Granja;TIAIA DE BAIXO;-3,017305556;-40,57586111
687;Ararendá;SANTO ANTONIO;-4,698138889;-40,6635
45;Farias Brito;FARIAS BRITO;-6,923083333;-39,57158333
792;Amontada;BARRA DAS MOITAS;-3,00575;-39,70477778
309;Cariús;CAIPU;-6,631472222;-39,32863889
397;Pentecoste;AC. PEREIRA DE MIRANDA;-3,783333333;-39,25
505;Sobral;SALGADO DOS MACHADOS;-3,798555556;-40,35561111
478;Orós;PALESTINA;-6,317;-39,03330556
108;Palmácia;PALMACIA;-4,14725;-38,85177778
338;Acopiara;CARNAUBINHA;-6,14275;-39,19244444
353;Acarape;ACARAPE;-4,226972222;-38,70058333
332;Lavras da Mangabeira;AMANIUTUBA;-6,676138889;-38,88625
851;São Benedito;SITIO CHAPADINHA;-4,148583333;-40,86183333
138;Sobral;SOBRAL;-3,660638889;-40,34488889
680;Guaraciaba do Norte;LIMOEIRO;-4,176166667;-40,82305556
169;Acopiara;EBRON;-6,275222222;-39,59152778
420;Aracati;SANTA TEREZA;-4,611944444;-37,87497222
503;Irauçuba;JUA;-3,890111111;-39,86613889
158;Mauriti;PALESTINA DO CARIRI;-7,467;-38,76669444
677;Hidrolândia;CONCEICAO;-4,524;-40,59111111
233;Morada Nova;FAZENDA POCO DA PEDRA;-5,797111111;-40,06361111
288;Santa Quitéria;MACARAU;-4,099333333;-40,42888889
155;Acopiara;TRUSSU;-6,083;-39,73330556
340;Chorozinho;PATOS DOS LIBERATOS;-4,289083333;-38,53319444
653;Quiterianópolis;CRUZ;-5,787861111;-40,61761111
609;Guaraciaba do Norte;SITIO VARZEA REDONDA;-4,283;-40,83330556
777;Redenção;ACUDE ACARAPE DO MEIO;-4,194777778;-38,79966667
607;São Benedito;SITIO FAVEIRA;-4,052888889;-40,96308333
664;Boa Viagem;DOMINGOS DA COSTA;-5,112083333;-39,60411111
357;Beberibe;PARIPUEIRA;-4,372861111;-37,92447222
476;Ipu;ABILIO MARTINS;-4,45;-40,73333333
258;Ubajara;CRISTALIA;-4,95;-41,08333333
790;Amontada;FAZENDA ALTO DA CONCEICAO;-3,373361111;-39,8845
545;Palmácia;SITIO BICA;-4,15;-38,85
18;Aurora;AURORA;-6,942583333;-38,96844444
249;Granja;PARAZINHO;-3,060277778;-40,65888889
643;Tauá;CAICARA;-5,780527778;-40,17841667
518;Iracema;BASTIOES;-5,867055556;-38,39752778
652;Arneiroz;CACHOEIRA DE FORA;-6,191666667;-40,15036111
676;Hidrolândia;BETANIA;-4,528388889;-40,31666667
498;Sobral;BILHEIRA;-4,012611111;-40,04327778
387;Icó;AC. LIMA CAMPOS;-6,4;-38,96666667
573;Assaré;ARATAMA;-7,035;-39,86694444
854;Ararendá;LAGOA DE SANTO ANTONIO;-4,710666667;-40,67238889
382;Sobral;AC. AYRES DE SOUZA;-3,766666667;-40,5
239;Canindé;UBIRACU;-4,417;-39,61669444
142;Tauá;TAUA;-6,006416667;-40,29972222
98;Mulungu;MULUNGU;-4,305722222;-38,99719444
764;Umari;CAJAZERINHA;-6,605444444;-38,64322222
758;Alto Santo;ACUDE RIACHO DA SERRA;-5,579444444;-38,31213889
344;Ererê;ERERE;-6,019;-38,33561111
644;Santa Quitéria;TRAPIA;-4,191083333;-40,32044444
164;Ocara;SERRAGEM;-4,432888889;-38,50736111
101;Novo Oriente;NOVO ORIENTE;-5,533;-40,76669444
202;Ibicuitinga;IBICUITINGA;-4,967;-38,63330556
452;Beberibe;SERRA DO FELIX;-4,503138889;-38,13927778
706;Alto Santo;CARAUBAS;-5,44125;-38,41319444
595;Antonina do Norte;VARZEA NOVA;-6,769277778;-40,06308333
723;Madalena;FAZENDA CAJAZEIRA;-4,7975;-39,59833333
88;Meruoca;MERUOCA;-3,547583333;-40,45116667
468;Jaguaribe;AEROPORTO(JAGUARIBE);-5,866666667;-38,53333333
654;Independência;CACHOEIRA DO FOGO;-5,571444444;-40,34530556
847;Jardim;SITIO BONSUCESSO;-7,633833333;-39,21644444
864;Cruz;SITIO PITOMBEIRAS DE CRUZ;-2,886111111;-40,17305556
38;Caucaia;CAUCAIA;-3,75;-38,68330556
702;Tamboril;SUCESSO;-4,946638889;-40,54291667
69;Itapiúna;ITAPIUNA;-4,583;-38,95
583;Farias Brito;CARIUTABA;-6,823055556;-39,52311111
738;Quixeramobim;ASSENTAMENTO NOVO CANAA;-5,362861111;-39,31661111
333;Lavras da Mangabeira;ARROJADO;-6,665361111;-39,01172222
743;São Gonçalo do Amarante;SEDE;-3,603944444;-38,96711111
337;Cascavel;GUANACES;-4,15275;-38,31461111
393;Mauriti;QUIXABINHA;-7,502833333;-38,74794444
34;Cariús;CARIUS;-6,541222222;-39,49891667
637;Granja;SAMBAIBA;-3,198472222;-40,95638889
177;Tauá;MARRECAS;-6,14625;-40,39252778
584;Jucás;BAIXIO DE DONANA;-6,354055556;-39,68194444
70;Itarema;ITAREMA;-2,921083333;-39,91608333
849;Tamboril;FAZENDA NOVA;-5,09775;-40,22938889
237;Granja;IBUGUACU;-3,352555556;-41,26705556
691;Crateús;TUCUNS;-5,226888889;-40,91730556
737;Barbalha;CALDAS;-7,317055556;-39,32236111
157;Fortim;FORTIM;-4,450416667;-37,80091667
378;Crateús;IBIAPABA;-5,04925;-40,92261111
363;Fortaleza;PICI;-3,75;-38,58330556
630;Marco;PANACUI;-3,217;-40,4
587;Quixelô;VILA ANTONICO;-6,261583333;-39,26930556
214;Quixadá;DOM MAURICIO;-4,917805556;-39,15055556
610;Croatá;SANTA TEREZA;-4,382277778;-41,06352778
755;Iracema;CANAFISTULA;-5,866;-38,32097222
16;Arneiroz;ARNEIROZ;-6,325777778;-40,15902778
816;Paracuru;POCO DOCE;-3,442305556;-39,10866667
658;Independência;RECIFE;-5,300805556;-40,26422222
832;Salitre;CHAPADA DO ALEGRE;-7,105666667;-40,27261111
449;Jaguaribe;AC. NOVA FLORESTA;-5,95;-38,91666667
667;Quixeramobim;PASSAGEM - FOGAREIRO;-5,158083333;-39,47841667
869;Quixeramobim;ETA SAAE QUIXERAMOBIM;-5,193833333;-39,31094444
517;Pereiro;CRIOULAS;-6,2;-38,53480556
563;Uruburetama;ITACOLOMI;-3,616666667;-39,55
837;Potengi;SITIO QUENQUELERE;-7,033944444;-40,04947222
891;Madalena;LAGOA DO PORCO;-4,772888889;-39,69341667
748;Piquet Carneiro;SITIO CATOLÉ DA PISTA;-5,942638889;-39,52547222
788;Apuiarés;VILA SOARES;-3,869194444;-39,35102778
492;Morada Nova;ROLDAO;-5,245083333;-38,49102778
119;Porteiras;PORTEIRAS;-7,533;-39,11669444
721;Independência;DESEJO;-5,484444444;-40,43325
735;Trairi;FAZENDA LAGES;-3,408666667;-39,32702778
877;Nova Russas;ACUDE FARIAS DE SOUSA;-4,76575;-40,58969444
52;Groaíras;GROAIRAS;-3,905444444;-40,37766667
136;Senador Pompeu;SENADOR POMPEU;-5,587;-39,37066667
374;Itatira;CACHOEIRA;-4,68875;-39,52355556
705;Alto Santo;FAZENDA ARARA;-5,617;-38,26669444
742;São Gonçalo do Amarante;SIUPE;-3,537638889;-38,94311111
739;Canindé;SAO BERNARDO;-4,400833333;-39,35083333
689;Tamboril;CURATIS;-4,987111111;-40,15841667
866;São João do Jaguaribe;SITIO LIMA;-5,248583333;-38,222
592;Caridade;FAZENDA ALTO VERMELHO;-4,133;-39,15
277;Graça;GRACA;-4,05025;-40,754
151;Várzea Alegre;VARZEA ALEGRE;-6,792694444;-39,32652778
149;Uruoca;URUOCA;-3,317083333;-40,56138889
785;Beberibe;URUAU CARRAPICHO;-4,222611111;-38,09033333
868;Baturité;HOTEL VALE DAS NUVENS;-4,266888889;-38,91713889
314;Crato;PONTA DA SERRA;-7,117777778;-39,42919444
872;Coreaú;AÇUDE DIAMANTE;-3,599333333;-40,86472222
93;Monsenhor Tabosa;MONSENHOR TABOSA;-4,797111111;-40,06361111
180;Tauá;CARRAPATEIRAS;-5,839944444;-40,2105
32;Cariré;CARIRE;-3,948527778;-40,47488889
125;Redenção;REDENCAO;-4,223166667;-38,72947222
548;Ipu;FLORES;-4,346861111;-40,56011111
566;Itapipoca;FAZENDA MALA;-3,383333333;-39,48333333
651;Parambu;LAGOA GRANDE-COCOGI;-6,331861111;-40,40525
433;Morada Nova;UIRAPONGA;-5,282527778;-38,36030556
488;Sobral;PATRIARCA;-3,595361111;-40,27422222
416;Icapuí;PEIXE GORDO;-4,785305556;-37,28183333
5;Alcântaras;ALCANTARAS;-3,585361111;-40,54422222
76;Jardim;JARDIM;-7,583;-39,27891667
513;Icó;PEDRINHAS;-6,333;-38,5667
11;Aquiraz;AQUIRAZ;-3,9;-38,38330556
600;Beberibe;SITIO LUCAS;0;0
123;Quixeramobim;QUIXERAMOBIM;-5,200805556;-39,28372222
486;Sobral;CENTRO DE TREINAMENTO;-3,729222222;-40,39080556
839;Catarina;FIGUEIREDO;-6,344916667;-40,06975
875;Granja;AÇUDE GANGORRA;-3,165416667;-40,86138889
885;Madalena;SABONETE;-4,759666667;-39,517
588;Iguatu;RIACHO VERMELHO;-6,210888889;-39,29675
693;Crateús;VILA SANTO ANTONIO;-5,40675;-40,63625
634;Uruoca;CAMPANARIO;-3,368111111;-40,73388889
880;Frecheirinha;ACUDE ANGICOS;-3,637805556;-40,81780556
515;Pentecoste;pluvio.posto AGRICOLA;-3,783333333;-39,28333333
206;Granja;PESSOA ANTA;-3,342083333;-40,99258333
77;Jati;JATI;-7,683;-39
597;Aiuaba;CEDRO;-6,75;-40,26669444
860;Amontada;NOVA CONQUISTA;-3,411361111;-39,99786111
590;Acopiara;TANQUES;-6,1;-39,11669444
815;Maranguape;OLHO DAGUA;-4,069083333;-38,80680556
323;Iguatu;SUASSURANA;-6,7;-39,5
769;Amontada;VARZEA DA CAL;-3,380277778;-39,98125
80;Lavras da Mangabeira;LAVRAS DA MANGABEIRA;-6,762888889;-38,96063889
25;Boa Viagem;BOA VIAGEM;-5,124861111;-39,73247222
519;Potiretama;CANINDEZINHO;-5,783;-38,21669444
761;Fortaleza;DEFESA CIVIL;-3,743083333;-38,55255556
473;Cascavel;CAPONGA;-4,033333333;-38,18333333
670;Jijoca de Jericoacoara;JERICOACOARA;-2,793111111;-40,51947222
683;Ipueiras;SAO JOSE DAS LONTRAS;-4,557277778;-40,97202778
89;Milagres;MILAGRES;-7,311527778;-38,95075
346;Santana do Cariri;ARAPORANGA;-7,133333333;-39,76666667
35;Carnaubal;CARNAUBAL;-4,164583333;-40,94155556
71;Itatira;ITATIRA;-4,528611111;-39,63472222
656;Independência;TRANQUEIRAS;-5,583;-40,55
213;Tamboril;OLIVEIRA;-5,063333333;-40,29222222
312;Cedro;VARZEA;-6,483333333;-39,11666667
726;Fortaleza;PARQUELANDIA;-3,733333333;-38,56666667
144;Trairi;TRAIRI;-3,276444444;-39,26511111
186;Tejuçuoca;TEJUCUOCA;-3,989416667;-39,58027778
522;Palmácia;SITIO PAJEU;0;0
802;Quixeramobim;ACUDE PIRABIBU;-4,980861111;-39,3645
46;Forquilha;FORQUILHA;-3,798;-40,26338889
884;Ibiapina;SITIO PITUBA;-3,951444444;-40,88694444
320;Iguatu;BARREIRAS;-6,283333333;-39,3
272;Caucaia;PRIMAVERA;-3,7;-38,81669444
480;Iguatu;AEROPORTO(IGUATU);-6,348138889;-39,29636111
120;Potengi;POTENGI;-7,094666667;-40,03047222
365;Fortaleza;AEROPORTO(FORTALEZA);-3,766666667;-38,51666667
27;Camocim;CAMOCIM;-2,899972222;-40,84502778
205;Horizonte;HORIZONTE;-4,1;-38,48330556
262;Russas;SITIO TIMBAUBA MACORE;-4,866388889;-38,23116667
97;Mucambo;MUCAMBO;-3,905694444;-40,74330556
606;Ibiapina;SITIO VARZEA;0;0
619;Iguatu;BARRO ALTO;-6,448361111;-39,38533333
534;Ererê;SÃO JOÃO;-5,928055556;-38,23088889
508;Aracati;MATA FRESCA;-4,835666667;-37,47647222
361;Ocara;OCARA;-4,490527778;-38,59427778
297;Irauçuba;MISSI;-3,623055556;-39,82158333
124;Quixeré;QUIXERE;-5,071388889;-37,99522222
434;Sobral;AEROPORTO(SOBRAL);-3,680666667;-40,34033333
601;Tamboril;AC. CARAO;-4,8;-40,36666667
456;Quixeramobim;AC. QUIXERAMOBIM;-5,193416667;-39,30680556
243;Várzea Alegre;RIACHO VERDE;-6,87175;-39,37008333
114;Penaforte;PENAFORTE;-7,8275;-39,07605556
760;Potiretama;ACUDE POTIRETAMA;-5,723027778;-38,15155556
43;Crato;CRATO;-7,238333333;-39,41277778
722;Guaiúba;CARRAPATEIRA;-4,153777778;-38,72566667
308;Trairi;TAMANDUA;-3,326;-39,40477778
118;Poranga;PORANGA;-4,744888889;-40,92388889
405;Deputado Irapuan Pinheiro;BETANIA;-5,803277778;-39,24716667
887;Fortaleza;DEFESA CIVIL DE FORTALEZA;-3,723444444;-38,53763889
153;Cascavel;CRISTAIS;-4,497638889;-38,3605
834;Salitre;SITIO MILHANS;-7,174944444;-40,33625
803;Morada Nova;ACUDE CIPOADA;-5,257194444;-38,64505556
444;Jaguaruana;BORGES;-4,898388889;-37,87466667
806;Tamboril;ACUDE CARAO;-4,821805556;-40,36133333
890;Tamboril; RIACHãO DE CIMA;-5,059944444;-40,32638889
110;Paraipaba;PARAIPABA;-3,433916667;-39,14627778
410;Icapuí;BARRINHA;-4,826888889;-37,26838889
21;Barro;BARRO;-7,183861111;-38,77736111
47;Fortaleza;FUNCEME;-3,733;-38,56669444
322;Iguatu;JOSE DE ALENCAR;-6,398583333;-39,17494444
7;Alto Santo;ALTO SANTO;-5,512861111;-38,26538889
472;Barro;CUNCAS;-7,091361111;-38,73075
711;Pentecoste;SEBASTIAO DE ABREU;-3,848444444;-39,32302778
65;Irauçuba;IRAUCUBA;-3,746027778;-39,77852778
855;Jardim;SERRA  BREJINHO;-7,583805556;-39,31619444
44;Cruz;CRUZ;-2,930527778;-40,18105556
48;Frecheirinha;FRECHEIRINHA;-3,758972222;-40,81013889
605;Crato;LAMEIRO;-7,233;-39,41669444
544;Ibaretama;IBARETAMA;-4,820611111;-38,82358333
432;Morada Nova;BOA AGUA;-4,776027778;-38,51577778
778;Aratuba;SITIO FERNANDES;-4,40525;-39,06972222
808;Milagres;SITIO SACO;-7,398944444;-38,87047222
491;Morada Nova;PATOS;-4,701388889;-38,39994444
221;Quixeramobim;MANITUBA;-5,224222222;-39,56586111
799;Boa Viagem;AÇUDE VIEIRAO;-5,158805556;-39,71952778
201;Morada Nova;ARUARU;-4,578138889;-38,36658333
547;Farias Brito;SITIO ESCONDIDO;-6,916666667;-39,56666667
793;Viçosa do Ceará;LAMBEDOURO;-3,597611111;-41,02077778
223;Monsenhor Tabosa;NOSSA SRA. DO LIVRAMENTO;-4,989527778;-39,98038889
8;Amontada;AMONTADA;-3,361138889;-39,82686111
535;Jaguaretama;SÍTIO SÃO PEDRO;-5,649027778;-38,87680556
87;Mauriti;MAURITI;-7,383888889;-38,77219444
134;São João do Jaguaribe;SAO JOAO DO JAGUARIBE;-5,271527778;-38,27319444
84;Marco;MARCO;-3,120222222;-40,14625
85;Martinópole;MARTINOPOLE;-3,231944444;-40,69972222
300;Irauçuba;BOA VISTA DO CAXITORE;-3,925194444;-39,71430556
886;Santa Quitéria;INB ITATAIA;-4,575166667;-39,79636111
215;Quixadá;JUATAMA;-5,067;-39,03330556
227;Itapajé;SAO JOAQUIM;-3,729694444;-39,67122222
364;Fortaleza;MESSEJANA;-3,833805556;-38,47802778
724;Madalena;PAU FERRO;-4,993333333;-39,48222222
641;Coreaú;UBAUNA;-3,741527778;-40,68875
489;Sobral;TAPERUABA;-4,075916667;-39,9475
336;Lavras da Mangabeira;QUITAIUS;-6,883;-39,1
91;Missão Velha;MISSAO VELHA;-7,248777778;-39,14663889
457;Jaguaruana;GIQUI;-4,771694444;-37,77744444
882;Quixeramobim;FAZENDA NORMAL;-5,116611111;-39,18133333
714;Alto Santo;LOGRADOURO;-5,40625;-38,18519444
383;Forquilha;AC. FORQUILHA;-3,797194444;-40,25625
50;Granja;GRANJA;-3,119583333;-40,82916667
485;Sobral;BONFIM;-3,773472222;-40,39794444
264;Aratuba;PAI JOAO;-4,452694444;-39,00711111
817;Paracuru;JARDIM DO MEIO;-3,486472222;-39,04194444
278;Caucaia;TUCUNDUBA;-3,869777778;-38,75577778
360;Tururu;TURURU;-3,597861111;-39,43488889
197;Forquilha;TRAPIA;-3,892;-40,25822222
561;Jaguaribara;AC. VELAME;-5,616666667;-38,58333333
130;Santana do Acaraú;SANTANA DO ACARAU;-3,458138889;-40,20997222
207;Guaiúba;GUAIUBA;-4,046527778;-38,63736111
604;Cariré;FZ. SANTA ROSA;0;0
608;Ubajara;POCO DA AREIA;-3,849055556;-41,06291667
224;Quixeramobim;URUQUE;-5,149305556;-39,17844444
210;Crateús;MONTE NEBO;-5,433416667;-40,85316667
208;Viçosa do Ceará;GENERAL TIBURCIO;-3,503111111;-41,11088889
310;Cariús;SAO BARTOLOMEU;-6,666666667;-39,5
380;Quixeramobim;VICENTE DE CASTRO;0;0
814;Quixeramobim;RIACHO VERDE;-5,362888889;-39,60066667
282;Ibaretama;PIRANGI;-4,683;-38,68330556
688;Crateús;POTI-FEIJAO;-5,065583333;-40,75775
558;Santa Quitéria;SACO DO BELEM;-4,429694444;-39,79572222
194;Limoeiro do Norte;BIXOPA;-4,989361111;-38,20283333
211;Itaitinga;ITAITINGA;-3,977472222;-38,51583333
633;Camocim;JATOBA;-2,972333333;-40,93763889
196;Itarema;PATOS;-3;-39,73330556
15;Aratuba;ARATUBA;-4,416944444;-39,04711111
26;Brejo Santo;BREJO SANTO;-7,485083333;-38,98383333
154;General Sampaio;FAZENDA MORADA NOVA;-4,017;-39,43330556
624;Itarema;CARVOEIRO;-3,190611111;-39,99461111
715;Guaiúba;AGUA VERDE;-5,65;-38,66666667
362;Fortaleza;CASTELAO;-3,815416667;-38,54886111
350;Pacajus;ITAIPABA;-4,180388889;-38,595
725;Várzea Alegre;BOA VISTA;-6,782583333;-39,34594444
339;Missão Velha;JAMACARU;-7,408611111;-39,1275
241;Itapiúna;PALMATORIA;-4,55;-39
782;Pacoti;SITIO PILOES;-4,179861111;-38,93738889
455;Senador Pompeu;AC. PATU;-5,583333333;-39,41666667
645;Santa Quitéria;MALHADA GRANDE;-4,071833333;-40,31461111
718;Tabuleiro do Norte;CAMPOS NOVOS;-5,435222222;-38,01186111
66;Itaiçaba;ITAICABA;-4,675361111;-37,82077778
199;Maranguape;ITAPEBUSSU;-4,028861111;-38,92672222
293;Maranguape;LADEIRA GRANDE;-3,97475;-38,73163889
731;Pacatuba;ESCOLA PROF LUIZA TEODORO;-3,889027778;-38,60977778
170;Boa Viagem;IBUACU;-4,824583333;-39,77022222
165;Ocara;ARISCO DOS MARIANOS;-4,642027778;-38,55722222
406;Itapipoca;FAZENDA LAGOA DAS MERCES;-3,164527778;-39,58055556
369;Redenção;ANTONIO DIOGO;-4,316666667;-38,75
209;Viçosa do Ceará;MANHOSO;-3,495083333;-41,01180556
399;Canindé;SALITRE;-4,209444444;-39,73138889
55;Hidrolândia;HIDROLANDIA;-4,400444444;-40,41666667
17;Assaré;ASSARE;-6,869638889;-39,87186111
413;Maranguape;FAZENDA COLUMINJUBA;-3,971444444;-38,71544444
255;Ipueiras;ENGENHEIRO JOAO TOME;-4,6;-40,63333333
133;São Gonçalo do Amarante;SAO GONCALO DO AMARANTE;-3,674722222;-38,97972222
593;Saboeiro;FLAMENGO;-6,25975;-39,762
546;Redenção;SITIO LIVRAMENTO;-4,216666667;-38,71666667
307;Salitre;SALITRE;-7,283694444;-40,45455556
657;Independência;VARZEA GRANDE;-5,683;-40,48330556
